cc,rs,name,lon,lat,r1
PM,15789,Miquelon-Langlade,-56.377,47.1,15789
PM,714,Saint-Pierre,-56.172,46.78,288
IS,496,Patreksfjörður,-23.999,65.598,414
IS,4408,Ísafjörður,-23.124,66.075,1232
IS,240,Þingeyri,-23.489,65.877,200
IS,496,Ólafsvík,-23.708,64.897,345
IS,1478,Stykkishólmur,-22.725,65.076,496
IS,288,Reykhólar,-22.199,65.448,240
IS,345,Grindavík,-22.434,63.843,288
IS,414,Akranes,-22.058,64.319,200
IS,345,Búðardalur,-21.762,65.109,288
IS,345,Borgarnes,-21.91,64.545,200
IS,288,Bifröst,-21.549,64.766,200
IS,714,Hólmavík,-21.683,65.701,345
IS,39285,Reykjavík,-21.897,64.133,7615
IS,288,Hvammstangi,-20.943,65.398,288
IS,714,Selfoss,-21.003,63.937,288
IS,288,Blönduós,-20.28,65.658,240
IS,414,Skagaströnd,-20.303,65.823,200
IS,345,Laugarvatn,-20.733,64.218,200
IS,414,Flúðir,-20.32,64.131,288
IS,595,Hvolsvöllur,-20.231,63.749,240
IS,2127,Vestmannaeyjar,-20.276,63.44,496
IS,414,Varmahlíð,-19.444,65.553,200
IS,496,Siglufjörður,-18.907,66.155,200
IS,595,Sauðárkrókur,-19.64,65.748,414
IS,240,Ólafsfjörður,-18.653,66.071,200
IS,414,Dalvík,-18.53,65.974,288
IS,414,Grímsey,-18.009,66.538,345
IS,240,Hrafnagil,-18.094,65.571,200
IS,496,Vík,-19.006,63.42,414
IS,2127,Akureyri,-18.101,65.689,1773
IS,496,Húsavík,-17.343,66.047,345
IS,714,Kirkjubæjarklaustur,-18.038,63.794,414
IS,288,Laugar,-17.36,65.721,200
IS,496,Reykjahlíð,-16.91,65.64,345
IS,240,Kópasker,-16.44,66.302,200
IS,1232,Raufarhöfn,-15.949,66.454,288
IS,496,Bakkafjörður,-14.803,66.037,200
IS,496,Þórshöfn,-15.336,66.198,414
IS,1027,Vopnafjörður,-14.828,65.753,414
IS,1773,Höfn í Hornafirði,-15.208,64.255,714
IS,3062,Egilsstaðir,-14.406,65.262,1027
PT,7615,Santa Cruz das Flores,-31.128,39.456,1478
IS,496,Djúpivogur,-14.283,64.657,200
IS,345,Borgarfjörður eystri,-13.816,65.528,288
IS,240,Stöðvarfjörður,-13.874,64.833,200
IS,345,Fáskrúðsfjörður,-14.014,64.93,200
IS,414,Neskaupstaður,-13.676,65.147,200
PT,595,Velas,-28.209,38.682,240
PT,496,Lajes do Pico,-28.251,38.395,200
SJ,9138,Olonkinbyen,-8.715,70.923,3062
IE,496,Keel-Dooagh,-10.114,53.974,200
IE,496,Belmullet,-9.988,54.224,345
FO,9138,Tórshavn,-6.758,62.03,3674
FO,414,Sandur,-6.816,61.835,200
IE,240,Bangor Erris,-9.743,54.145,200
IE,595,Clifden,-10.013,53.489,414
IE,240,Mulranny,-9.774,53.907,200
FO,345,Klaksvík,-6.583,62.226,200
FO,1027,Vágur,-6.81,61.474,414
FO,240,Viðareiði,-6.534,62.36,200
UK,1232,St Kilda,-8.563,57.812,714
IE,496,Dingle,-10.27,52.14,288
IE,496,Ballina,-9.158,54.114,200
UK,240,Gramasdal,-7.307,57.48,240
UK,240,Bruernish,-7.401,56.995,200
UK,240,Lochportain,-7.125,57.633,240
IE,345,Carraroe,-9.597,53.265,240
IE,345,Cahersiveen,-10.228,51.946,200
IE,288,Easky,-8.952,54.286,200
IE,856,Tralee,-9.7,52.271,496
IE,345,Claremorris,-8.998,53.719,200
IE,288,Sneem,-9.905,51.837,200
IE,288,Ennistimon,-9.293,52.94,200
UK,496,Gerinish,-7.365,57.353,200
UK,345,Timsgarry,-7.017,58.198,288
IE,288,Listowel,-9.487,52.454,200
UK,2127,West Kilbride,-7.367,57.111,714
UK,595,Sgarasta Bheag,-7.049,57.824,345
IE,345,Glenties,-8.284,54.797,200
IE,1232,Sligo,-8.483,54.269,595
IE,496,Killarney,-9.506,52.058,200
IE,595,Castlebar,-9.285,53.855,496
UK,414,Hosta,-7.49,57.621,414
IE,414,Kilrush,-9.486,52.638,200
IE,714,Bunbeg,-8.296,55.067,345
IE,1478,Galway,-9.042,53.282,595
UK,288,Govig,-7.055,57.972,288
IE,345,Kenmare,-9.579,51.88,200
UK,345,Melbost Borve,-6.436,58.43,200
UK,414,Middleton,-6.968,56.482,414
IE,595,Mallow,-8.647,52.134,240
IE,414,Ennis,-8.977,52.826,200
IE,288,Ballyshannon,-8.192,54.502,200
IE,496,Donegal,-8.103,54.653,240
IE,288,Newcastle West,-9.057,52.458,240
UK,240,Ceann Shìphoirt,-6.591,58.054,200
IE,345,Loughrea,-8.574,53.198,200
IE,240,Boherbue,-9.068,52.159,200
UK,240,Trumpan,-6.634,57.559,200
UK,1478,Stornoway,-6.379,58.209,714
IE,496,Skibbereen,-9.271,51.551,414
UK,240,Colbost,-6.645,57.445,200
IE,240,Carrick-on-Shannon,-8.084,53.945,200
IE,240,Roscommon,-8.197,53.62,200
IE,288,Dunmanway,-9.111,51.72,200
IE,1773,Limerick,-8.626,52.658,595
UK,345,A' Chill,-6.509,57.056,240
UK,414,Enniskillen,-7.631,54.345,200
UK,1232,Londonderry,-7.319,54.999,595
IE,856,Athlone,-7.967,53.423,414
IE,240,Athenry,-8.747,53.302,200
IE,414,Longford,-7.786,53.73,200
UK,496,Portree,-6.198,57.404,496
MF,9138,Saint-Martin,-63.084,18.067,2127
IE,288,Tipperary,-8.151,52.477,200
UK,595,Port Mòr,-6.226,56.835,414
IE,288,Gort,-8.816,53.065,200
IE,345,Bantry,-9.448,51.681,200
IE,240,Broadford,-8.978,52.344,200
UK,288,Strabane,-7.463,54.824,200
IE,496,Carndonagh,-7.263,55.246,200
IE,345,Nenagh,-8.204,52.858,240
UK,856,Omagh,-7.296,54.6,345
IE,1773,Cork,-8.476,51.863,1232
UK,240,Achosnich,-6.18,56.727,240
UK,345,Murlaggan,-5.273,56.98,200
IE,345,Thurles,-7.811,52.68,200
UK,595,Opinan,-5.582,57.906,345
UK,345,Kilmore,-5.871,57.094,288
IE,240,Rathcormack,-8.282,52.075,200
UK,414,Inveralligin,-5.605,57.557,288
UK,496,Stoer,-5.337,58.202,414
UK,345,Carsaig,-5.979,56.324,240
UK,414,Stromeferry,-5.551,57.351,288
IE,856,Cavan,-7.358,53.993,288
UK,345,Ardery,-5.674,56.695,240
IE,856,Kilkenny,-7.253,52.654,345
UK,714,Achiemore,-4.82,58.567,496
UK,240,Dungiven,-6.919,54.926,200
UK,714,Oban,-5.474,56.407,288
UK,345,Newry,-6.334,54.178,200
UK,414,Kilninian,-6.231,56.532,288
UK,288,South Erradale,-5.782,57.674,240
IE,288,Midleton,-8.163,51.911,200
UK,345,Coleraine,-6.664,55.13,240
IE,288,Castlepollard,-7.297,53.681,200
UK,496,Kilchattan,-6.23,56.075,345
BL,714,Saint-Barthélemy,-62.852,17.898,288
