cc,rs,name,lon,lat,r1
SE,1027,Halmstad,12.899,56.675,496
SE,345,Föllinge,14.61,63.672,288
SE,714,Helsingborg,12.719,56.042,288
SE,414,Svenstavik,14.433,62.765,345
DE,856,Ulm,9.99,48.398,414
CH,414,Bellinzona,9.03,46.194,200
DE,345,Wittenberge,11.751,52.994,288
CH,414,Lugano,8.951,46.004,200
DE,496,Ilmenau,10.916,50.689,200
DE,1027,Erfurt,11.027,50.977,496
SE,240,Oskarström,12.976,56.797,200
DE,1478,Rostock,12.136,54.089,714
SE,345,Hackås,14.512,62.935,200
DE,240,Sömmerda,11.119,51.159,200
SE,1027,Sveg,14.359,62.035,496
DE,345,Osterburg (Altmark),11.754,52.788,200
AT,345,Feldkirch,9.586,47.255,200
IT,240,Busto Arsizio,8.848,45.613,200
SE,414,Ängelholm,12.877,56.253,200
DE,288,Sangerhausen,11.299,51.474,240
NO,595,Fauske,15.394,67.26,288
DE,496,Güstrow,12.176,53.794,240
SE,345,Landskrona,12.84,55.875,200
IT,856,Alessandria,8.619,44.913,288
NO,345,Rognan,15.395,67.102,200
SE,345,Ulricehamn,13.418,57.789,200
IT,496,Albenga,8.215,44.053,200
DE,1027,Magdeburg,11.633,52.126,496
CH,1027,Chur,9.531,46.851,345
DE,345,Ansbach,10.577,49.304,240
DE,714,Coburg,10.964,50.258,288
IT,714,Como,9.087,45.806,200
IT,288,Vigevano,8.861,45.314,200
SE,345,Hyltebruk,13.241,57.005,200
DE,1027,Stendal,11.862,52.611,414
DE,345,Günzburg,10.281,48.454,200
DE,345,Ribnitz,12.432,54.243,200
NO,345,Oppeid,15.627,68.082,240
SE,345,Vansbro,14.216,60.509,200
DE,714,Bamberg,10.887,49.893,345
IT,240,Chiavenna,9.396,46.318,200
SE,1027,Tärnaby,15.288,65.713,414
SE,345,Lit,14.854,63.321,200
IT,414,Savona,8.474,44.308,240
SE,595,Mariestad,13.821,58.704,240
SE,240,Smålandsstenar,13.411,57.161,200
DE,595,Memmingen,10.185,47.988,200
DE,288,Burg,11.855,52.27,200
IT,345,Novi Ligure,8.793,44.76,200
SE,240,Malmö,13.009,55.597,200
DE,240,Dillingen a.d.Donau,10.497,48.577,200
SE,856,Filipstad,14.168,59.708,240
SE,714,Skövde,13.85,58.399,496
IT,7615,Milano,9.175,45.473,2127
DE,345,Saalfeld/Saale,11.361,50.648,240
SE,288,Gislaved,13.565,57.302,200
AT,345,Schruns,9.92,47.081,200
SE,240,Örkelljunga,13.281,56.284,200
SE,2127,Mora,14.537,61,414
IT,240,Monza,9.274,45.583,200
IT,240,Voghera,9.001,44.991,200
IT,345,Lecco,9.404,45.856,200
CH,345,Davos,9.836,46.804,200
SE,345,Fredriksberg,14.375,60.139,200
SE,240,Väring,13.964,58.509,200
SE,240,Orsa,14.634,61.109,200
IT,288,Pavia,9.16,45.184,240
DE,496,Jena,11.592,50.93,288
SE,345,Storfors,14.275,59.535,200
DE,595,Kempten (Allgäu),10.318,47.724,496
DE,414,Genthin,12.155,52.406,200
NO,714,Andenes,16.12,69.319,414
SE,595,Trelleborg,13.154,55.377,200
DE,288,Loburg,12.073,52.116,200
DE,240,Gnoien,12.71,53.969,200
DE,414,Donauwörth,10.778,48.719,288
DE,1478,Nürnberg,11.075,49.451,1027
SE,414,Ytterhogdal,14.942,62.18,200
SE,240,Perstorp,13.399,56.136,200
DE,288,Kyritz,12.397,52.941,200
IT,2127,Genova,8.904,44.421,714
DE,414,Wittstock/Dosse,12.486,53.163,200
DE,345,Oberstdorf,10.276,47.408,240
DE,240,Zerbst/Anhalt,12.085,51.964,200
DE,496,Weißenburg i.Bay.,10.972,49.03,200
SE,345,Hova,14.216,58.853,200
