rmax,name,lon,lat
28,Kaltbrunn,9.075,47.735
33,Selbig,8.017,48.18
24,Ehingen,8.801,47.824
33,Unterbichtlingen,9.099,47.967
39,Langenrain,9.075,47.763
55,Rohrbach,8.257,48.074
39,Muggenbrunn,7.917,47.857
46,Esslingen,8.719,47.991
33,Dossenbach,7.857,47.616
24,Wolpadingen,8.105,47.7
55,Griessen,8.413,47.628
28,Achdorf,8.501,47.837
46,Neudingen,8.571,47.912
28,Ippingen,8.669,47.982
24,Huetten,7.95,47.628
24,Salzert,7.686,47.604
24,Schlatt,7.674,47.923
33,Aasen,8.551,47.98
39,Zimmerholz,8.742,47.868
24,Praeg,7.968,47.779
33,Weizen,8.463,47.779
33,Leitishofen,9.159,48.004
39,Mauchen,8.391,47.739
39,Riedmatt,7.822,47.59
24,Karsau,7.799,47.587
33,Hausen an der Moehlin,7.672,47.955
66,Haenner,8.034,47.595
24,Ruesswihl,8.07,47.631
33,Hintschingen,8.699,47.925
39,Homberg,8.931,47.877
28,Hammereisenbach-Bregenbach,8.32,47.996
33,Gutenstein,9.115,48.078
39,Feldberg,7.642,47.773
24,Oberzell,9.076,47.686
28,Tumringen,7.656,47.627
24,Oefingen,8.636,47.992
55,Reichenbach,7.925,48.158
39,Weg,7.988,47.755
28,Titisee,8.152,47.901
33,Wies,7.77,47.748
66,Bachheim,8.403,47.86
46,Blansingen,7.543,47.692
28,Lauffen,8.625,48.127
55,Nendingen,8.86,48.006
24,Unteruhldingen,9.232,47.721
24,Gurtweil,8.247,47.641
39,Lausheim,8.453,47.812
94,Unterbraend,8.357,47.934
33,Horn,8.994,47.696
28,Oberschmeien,9.143,48.11
66,Sankt Wilhelm,7.95,47.895
28,Irslingen,8.639,48.229
33,Wiechs am Randen,8.639,47.782
55,Achkarren,7.626,48.068
79,Obereichsel,7.759,47.599
33,Steinenstadt,7.554,47.767
55,Urach,8.25,48.005
33,Unterschmeien,9.151,48.092
24,Altenschwand,7.976,47.637
33,Adelhausen,7.761,47.614
33,Margrethausen,8.968,48.23
33,Diesenhof,8.317,48.252
33,Schienen,8.901,47.688
33,Gersbach,7.933,47.697
33,Schlatt am Randen,8.702,47.769
24,Goeschweiler,8.31,47.859
79,Opferdingen,8.504,47.873
33,Trichtingen,8.651,48.275
28,Ettenheimmuenster,7.885,48.241
33,Egringen,7.596,47.664
55,Unterbaldingen,8.612,47.97
55,Riedoeschingen,8.608,47.843
39,Vorstadt,8.79,47.968
28,Offnadingen,7.711,47.933
28,Kuernberg,7.869,47.665
33,Nesselwangen,9.117,47.817
55,Streichen,8.92,48.271
28,Brunnadern,8.144,47.692
24,Niederrimsingen,7.668,47.986
33,Weilheim,8.774,48.026
33,Heudorf,9.073,47.994
79,Gremmelsbach,8.257,48.159
28,Pfeffingen,8.966,48.253
33,Schoenbronn,8.447,48.202
33,Worndorf,8.998,47.988
55,Niederwasser,8.228,48.19
39,Bleichheim,7.832,48.209
39,Tennenbronn,8.351,48.191
24,Bickensohl,7.646,48.078
46,Hattingen,8.785,47.921
39,Vorderfalkau,8.134,47.875
24,Langenhart,9.103,48.046
33,Detzeln,8.32,47.668
33,Kaiseringen,9.096,48.158
39,Lautlingen,8.958,48.216
33,Hermentingen,9.215,48.2
28,Hintersulgen,8.436,48.213
24,Altenburg,8.599,47.656
28,Hohenbodman,9.209,47.823
66,Blaettringen,9.148,48.149
46,Brambach,8.436,48.246
33,Hofsgrund,7.898,47.901
46,Falkensteig,8.002,47.944
46,Eberfingen,8.426,47.72
46,Heinstetten,8.963,48.135
28,Eschbach,8.18,47.633
33,Stahringen,8.972,47.785
24,Hecklingen,7.767,48.17
33,Schlaechtenhaus,7.738,47.691
39,Harthausen,9.161,48.195
55,Nack,8.576,47.606
39,Finsterbach,8.039,48.209
39,Liptingen,8.908,47.937
24,Voegisheim,7.621,47.792
33,Weiler,8.461,48.172
39,Rotzingen,8.077,47.665
33,Deisendorf,9.216,47.769
