rs,name,lon,lat
79,Chlebnice,19.469,49.228
55,Istebne,19.221,49.213
24,Kralovany,19.131,49.152
28,Kriva,19.484,49.277
79,Malatina,19.432,49.181
79,Ohradzany,21.843,48.996
192,Papin,22.061,49.092
112,Porubka,21.958,48.864
39,Pticie,21.958,48.903
24,Rovne,22.002,48.982
24,Sarisske Bohdanovce,21.319,48.846
79,Sindliar,20.942,49.039
66,Siroke,20.937,48.997
24,Teriakovce,21.309,48.99
66,Terna,21.238,49.109
39,Tuhrina,21.405,48.898
79,Tulcik,21.31,49.089
46,Varhanovce,21.36,48.855
46,Vitaz,20.954,48.971
39,Vysna Sebastova,21.325,49.015
24,Zaborske,21.288,48.943
28,Zahradne,21.269,49.087
39,Valkovna,20.072,48.834
33,Zavadka nad Hronom,19.916,48.851
24,Bystra,19.605,48.843
46,Latky,19.634,48.58
33,Podkrivan,19.457,48.514
230,Detva,19.412,48.542
55,Detvianska Huta,19.591,48.563
66,Dubravy,19.367,48.586
33,Horny Tisovnik,19.362,48.417
39,Krivan,19.449,48.53
112,Slatinske Lazy,19.301,48.5
46,Stara Huta,19.343,48.475
39,Stozok,19.359,48.529
33,Korytarky,19.473,48.544
66,Bzovik,19.09,48.319
79,Cerovo,19.155,48.255
46,Cekovce,19.123,48.351
46,Devicie,19.026,48.308
33,Dolny Badin,19.066,48.268
24,Domaniky,18.988,48.265
24,Drazovce,18.906,48.254
39,Drienovo,19.062,48.233
66,Dudince,18.888,48.167
33,Hontianske Moravce,18.849,48.185
160,Hontianske Nemce,18.988,48.286
66,Hontianske Tesare,18.926,48.198
24,Horne Mladonice,19.153,48.345
24,Horny Badin,19.075,48.279
33,Kozi Vrbovok,19.115,48.299
39,Kralovce-Krnisov,18.975,48.351
160,Krupina,19.067,48.355
66,Ladzany,18.903,48.267
134,Lisov,18.866,48.227
55,Lackov,19.187,48.321
112,Medovarce,19.002,48.235
24,Sebechleby,18.954,48.276
94,Senohrad,19.198,48.357
33,Unatin,19.065,48.296
1183,Lucenec,19.67,48.329
94,Abelova,19.434,48.412
24,Belina,19.85,48.242
46,Bolkovce,19.768,48.337
46,Mlynarovce,21.53,49.25
28,Betliar,20.507,48.698
46,Bohunovo,20.381,48.514
55,Borka,20.766,48.631
46,Coltovo,20.372,48.493
94,Dlha Ves,20.442,48.491
33,Gemerska Horka,20.378,48.535
112,Gemerska Poloma,20.478,48.714
39,Gocaltovo,20.343,48.635
24,Gocovo,20.418,48.759
33,Honce,20.409,48.667
192,Hrhov,20.751,48.606
33,Hrusov,20.636,48.581
39,Jablonov nad Turnou,20.674,48.593
28,Kecovo,20.484,48.492
33,Kobeliarovo,20.373,48.744
39,Slovenska Ves,20.425,49.226
134,Spisska Stara Ves,20.358,49.382
112,Spisske Hanusovce,20.346,49.329
33,Stara Lesna,20.307,49.136
39,Strane pod Tatrami,20.369,49.159
66,Toporec,20.49,49.267
46,Tvarozna,20.478,49.085
24,Velka Frankova,20.296,49.337
46,Rad,21.859,48.461
39,Sirnik,21.803,48.518
46,Slivnik,21.557,48.601
66,Somotor,21.812,48.405
39,Strazne,21.869,48.367
134,Streda nad Bodrogom,21.759,48.378
24,Svinice,21.88,48.458
28,Trnavka,21.62,48.708
28,Velaty,21.66,48.518
39,Velke Ozorovce,21.609,48.659
46,Velke Trakany,22.093,48.393
28,Velky Hores,21.912,48.386
39,Velky Kamenec,21.81,48.353
33,Vinicky,21.744,48.399
24,Visnov,21.667,48.748
46,Vojcice,21.714,48.678
28,Vojka,21.915,48.461
94,Zatin,21.902,48.477
66,Kopcany,17.115,48.788
24,Kovalovec,17.3,48.784
79,Mokry Haj,17.249,48.808
28,Petrova Ves,17.164,48.718
24,Popudinske Mocidlany,17.219,48.782
33,Prietrzka,17.197,48.803
46,Radimov,17.194,48.752
79,Radosovce,17.28,48.769
331,Skalica,17.225,48.845
94,Unin,17.214,48.727
24,Vradiste,17.192,48.823
397,Trnava,17.582,48.374
39,Binovce,17.483,48.498
28,Bohdanovce nad Trnavou,17.542,48.429
79,Boleraz,17.498,48.462
39,Borova,17.445,48.387
94,Brestovany,17.686,48.383
66,Bucany,17.7,48.415
39,Bukova,17.401,48.543
134,Cifer,17.492,48.317
55,Dechtice,17.59,48.545
55,Dobra Voda,17.54,48.598
46,Dolna Krupa,17.554,48.482
33,Dolne Dubove,17.605,48.494
46,Dolne Oresany,17.429,48.438
55,Horna Krupa,17.524,48.517
28,Horne Oresany,17.438,48.466
79,Jaslovske Bohunice,17.649,48.474
33,Katlovce,17.609,48.527
24,Kosolna,17.463,48.425
66,Majcichov,17.629,48.278
24,Malzenice,17.677,48.449
39,Nahac,17.534,48.535
55,Ruzindol,17.492,48.369
33,Nizny Mirosov,21.474,49.362
79,Okruhle,21.55,49.177
46,Radoma,21.565,49.198
28,Rakovcik,21.581,49.243
33,Rovne,21.515,49.282
33,Sobos,21.55,49.145
66,Strocin,21.595,49.265
39,Svidnicka,21.569,49.383
28,Sarissky Stiavnik,21.563,49.212
33,Stefurov,21.504,49.176
28,Vagrinec,21.629,49.313
112,Vysny Mirosov,21.448,49.385
55,Vysny Orlik,21.502,49.344
66,Holcikovce,21.725,49.019
46,Jasenovce,21.746,48.995
33,Juskova Vola,21.568,48.878
46,Kamenna Poruba,21.654,48.848
28,Kladzany,21.75,48.879
46,Kvakovce,21.669,48.988
94,Matiaska,21.582,49.062
55,Mernik,21.643,48.949
24,Michalok,21.632,48.991
46,Nizny Hrabovec,21.754,48.848
55,Nizny Hrusov,21.774,48.805
33,Nova Kelca,21.689,49.06
24,Ondavske Matiasovce,21.743,48.933
39,Pavlovce,21.442,49.027
24,Petrovce,21.481,49
28,Piskorovce,21.732,49.105
24,Radvanovce,21.459,49.051
28,Rafajovce,21.738,49.042
33,Remeniny,21.55,49.037
24,Vysny Kazimir,21.679,48.943
46,Sacurov,21.692,48.821
94,Secovska Polianka,21.681,48.777
39,Sedliska,21.728,48.905
28,Skrabske,21.579,49.007
46,Dubovec,20.154,48.293
46,Figa,20.253,48.396
39,Gemersky Jablonec,19.979,48.195
28,Gortva,20.023,48.295
33,Horne Lefantovce,18.145,48.42
55,Velky Lapas,18.185,48.294
28,Cechynce,18.161,48.256
24,Maly Cetin,18.178,48.24
33,Svatoplukovo,18.053,48.225
79,Nitrianske Hrnciarovce,18.127,48.334
33,Ivanka pri Nitre,18.122,48.236
39,Luzianky,18.032,48.324
28,Ludovitova,18.079,48.396
28,Stefanovicova,18.086,48.185
28,Stitare,18.16,48.35
685,Nove Zamky,18.162,47.987
46,Andovce,18.108,47.994
55,Bajtava,18.746,47.856
79,Banov,18.19,48.046
46,Bardonovo,18.422,48.101
39,Bela,18.597,47.832
46,Besenov,18.265,48.043
55,Bina,18.638,47.913
39,Branovo,18.305,48.019
55,Bruty,18.58,47.922
39,Cechy,18.371,48.035
28,Cernik,18.226,48.15
33,Dedinka,18.421,48.066
46,Dolny Ohaj,18.253,48.073
94,Dubnik,18.412,47.96
230,Smolenice,17.427,48.504
66,Sucha nad Parnou,17.483,48.412
79,Spacince,17.61,48.437
79,Surovce,17.723,48.324
55,Trstin,17.464,48.527
46,Voderady,17.561,48.278
33,Zavar,17.673,48.352
94,Zelenec,17.594,48.321
24,Krizovany nad Dudvahom,17.654,48.319
39,Opoj,17.642,48.303
39,Pavlice,17.575,48.257
24,Slovenska Nova Ves,17.536,48.292
55,Dlha,17.431,48.413
28,Dolne Lovcice,17.676,48.365
24,Stiavnicka,19.341,49.067
33,Valaska Dubova,19.293,49.142
24,Abramova,18.796,48.936
24,Blazovce,18.842,48.939
39,Budis,18.758,48.871
55,Dubove,18.796,48.857
94,Horna Stubna,18.887,48.822
39,Jazernica,18.832,48.927
28,Maly Cepcin,18.838,48.901
94,Bystricany,18.52,48.659
94,Hajnacka,19.952,48.215
66,Hodejov,19.989,48.298
28,Hodejovec,20.016,48.282
28,Horne Zahorany,20.011,48.463
79,Hostice,20.066,48.236
94,Hostisovce,20.114,48.496
112,Hrachovo,19.949,48.466
28,Hrusovo,20.05,48.513
39,Hubovo,20.368,48.399
33,Chanava,20.299,48.332
28,Chramec,20.188,48.28
24,Ivanice,20.237,48.328
160,Jesenske,20.07,48.304
33,Jestice,20.053,48.22
66,Kalosa,20.223,48.421
33,Kesovce,20.352,48.375
46,Klenovec,19.891,48.597
24,Kociha,19.945,48.479
46,Konradovce,19.904,48.299
66,Kral,20.344,48.329
24,Kruzno,19.93,48.413
39,Lenartovce,20.309,48.3
24,Lenka,20.348,48.387
46,Lukovistia,20.027,48.493
28,Neporadza,20.387,48.363
39,Nova Basta,19.946,48.172
33,Oravka,20.196,48.307
94,Ozdany,19.894,48.379
33,Padarovce,20.07,48.457
24,Pavlovce,20.082,48.327
55,Radnovce,20.206,48.341
94,Rimavska Bana,19.942,48.512
112,Rimavska Sec,20.236,48.305
55,Rimavske Brezovo,19.962,48.539
79,Rimavske Janovce,20.065,48.339
39,Rovne,20.053,48.581
39,Kosicke Olsany,21.343,48.727
33,Kosicky Klecenov,21.505,48.74
46,Kysak,21.221,48.854
112,Mala Ida,21.169,48.674
28,Mala Lodina,21.133,48.878
160,Medzev,20.894,48.698
24,Nizna Kamenica,21.479,48.76
46,Nizna Mysla,21.365,48.626
66,Nizny Klatov,21.145,48.725
66,Gbelce,18.509,47.852
33,Chlaba,18.82,47.828
39,Jasova,18.396,47.988
39,Jatov,18.027,48.126
66,Kamenica nad Hronom,18.726,47.831
112,Kamenin,18.644,47.888
39,Kamenny Most,18.657,47.852
28,Kmetovo,18.277,48.168
46,Kolta,18.419,48.017
134,Komjatice,18.174,48.154
66,Komoca,18.025,47.952
46,Lipova,18.176,48.11
79,Luba,18.596,47.85
79,Male Kosihy,18.752,47.923
79,Mana,18.287,48.153
55,Michal nad Zitavou,18.283,48.186
28,Velky Kyr,18.154,48.169
46,Mojzesovo,18.237,48.136
94,Muzla,18.601,47.792
79,Pliesovce,19.156,48.425
66,Podzamcok,19.106,48.501
24,Sasa,19.134,48.436
39,Sielnica,19.109,48.634
79,Sliac,19.144,48.612
66,Zvolenska Slatina,19.261,48.563
55,Zelezna Breznica,19.013,48.615
24,Lukavica,19.207,48.642
39,Lieskovec,19.189,48.577
39,Velka Luka,19.168,48.63
39,Hodrusa-Hamre,18.765,48.459
33,Horne Hamre,18.667,48.498
79,Hrabicov,18.666,48.535
79,Hronsky Benadik,18.558,48.345
39,Klak,18.644,48.582
79,Mala Lehota,18.575,48.494
55,Ostry Grun,18.664,48.56
28,Pila,18.593,48.521
33,Rudno nad Hronom,18.691,48.419
46,Tekovska Breznica,18.617,48.382
55,Velka Lehota,18.562,48.454
66,Velke Pole,18.565,48.538
55,Voznica,18.706,48.458
134,Zarnovica,18.72,48.483
33,Zupkov,18.645,48.515
33,Brehy,18.653,48.405
134,Ziar nad Hronom,18.863,48.586
33,Bzenica,18.747,48.526
24,Zemplin,21.81,48.442
55,Zemplinska Teplica,21.571,48.643
46,Zemplinske Hradiste,21.735,48.581
46,Zemplinske Jastrabie,21.776,48.492
28,Zemplinsky Branc,21.721,48.543
39,Jurova,17.522,47.935
39,Klucovec,17.72,47.795
55,Kostolne Kracany,17.575,47.966
28,Kralovicove Kracany,17.55,47.983
28,Kutniky,17.656,47.976
33,Kvetoslavov,17.354,48.05
112,Lehnice,17.455,48.053
66,Medvedov,17.665,47.8
24,Novy Zivot,17.466,48.118
33,Ohrady,17.7,47.986
66,Okoc,17.809,47.887
24,Orechova Poton,17.535,48.02
28,Padan,17.68,47.925
28,Sap,17.62,47.821
46,Patas,17.653,47.874
46,Rohovce,17.41,47.997
46,Stvrtok na Ostrove,17.353,48.098
79,Mosovce,18.889,48.907
28,Raksa,18.884,48.88
24,Rudno,18.747,48.884
39,Sklene,18.826,48.785
55,Slovenske Pravno,18.761,48.912
112,Turcek,18.919,48.758
39,Brezovica,19.653,49.341
39,Habovka,19.613,49.278
24,Hladovka,19.757,49.37
55,Liesek,19.681,49.362
55,Nizna,19.524,49.31
24,Oravsky Biely Potok,19.554,49.284
28,Podbiel,19.484,49.308
160,Sucha Hora,19.788,49.366
28,Stefanov nad Oravou,19.53,49.364
39,Vitanova,19.728,49.357
46,Zabiedovo,19.609,49.315
134,Zuberec,19.616,49.26
2042,Zilina,18.74,49.216
79,Bela,18.945,49.237
55,Cicmany,18.516,48.954
55,Divina,18.689,49.297
33,Divinka,18.699,49.254
