rs,name,lon,lat
79,Ooltgensplaat,4.35,51.683
46,Simpelveld,5.983,50.836
46,Standdaarbuiten,4.513,51.613
28,Heide,5.95,51.502
24,Hedikhuizen,5.187,51.734
79,Damwald,5.995,53.29
33,Den Hout,4.815,51.657
24,Westerland,4.932,52.894
160,Dieren,6.097,52.054
24,Renswoude,5.541,52.074
39,Nieuw-Weerdinge,6.988,52.857
24,Honselersdijk,4.23,52.008
55,Franeker,5.534,53.188
33,Warmenhuizen,4.738,52.724
28,Hegelsom,6.039,51.439
28,Hall,6.103,52.111
24,Heelweg-West,6.465,51.971
24,Wapenveld-Noord,6.069,52.443
28,Westerhoven,5.398,51.333
46,Lexmond,5.036,51.963
66,Vlijmen,5.218,51.698
24,Lemiers,5.993,50.786
33,Een,6.393,53.077
24,Nederweert-Eind,5.775,51.274
28,Haarlemmerliede,4.679,52.392
28,Appingedam,6.859,53.318
39,Gaastmeer,5.545,52.964
55,Langelo,6.445,53.093
24,Biezelinge,3.961,51.474
46,Cothen,5.31,51.999
55,Ovezande,3.821,51.429
397,Leeuwarden,5.807,53.204
39,Zoelen,5.404,51.91
39,Wilp,6.151,52.219
39,Eerde,5.497,51.604
39,Lutjewinkel,4.886,52.767
33,Katwoude,5.047,52.47
79,Sint Nicolaasga,5.742,52.922
39,Moerkapelle,4.574,52.045
39,Purmerland,4.925,52.482
160,Asten,5.748,51.405
112,Eerbeek,6.062,52.104
28,Nes aan de Amstel,4.871,52.26
24,Genhout,5.823,50.927
24,Wijnaldum,5.461,53.195
230,Oostburg,3.49,51.327
33,Hoek van Holland,4.135,51.975
39,Zevenhoven,4.783,52.18
55,Bennekom,5.674,52.002
112,Vaassen,5.968,52.29
24,Benthuizen,4.542,52.077
33,Anjum,6.127,53.375
55,Bodegraven,4.751,52.08
46,Wedde,7.075,53.069
46,Spaubeek,5.841,50.938
39,Hollandsche Rading,5.174,52.176
66,Hoofdplaat,3.662,51.37
39,Vinkeveen,4.93,52.213
28,IJhorst,6.291,52.659
46,Hoonhorst,6.229,52.486
28,Est,5.313,51.852
24,Sint Odilienberg,6.003,51.146
112,Aardenburg,3.442,51.273
46,Oosthuizen,4.997,52.575
46,Sauwerd,6.533,53.294
39,Geesbrug,6.633,52.725
55,Sloten,5.645,52.894
28,Zandstraat,3.811,51.265
46,Grootegast,6.277,53.212
24,Fluitenberg,6.453,52.736
28,Langeraar,4.71,52.194
33,Uppel,4.94,51.79
66,Munnekezijl,6.274,53.305
160,Yerseke,4.046,51.494
46,Griendtsveen,5.89,51.442
33,Breezand,4.803,52.888
55,Waddinxveen,4.651,52.048
33,Bemelen,5.764,50.848
55,Opeinde,6.062,53.134
79,Eersel,5.322,51.359
134,Best,5.399,51.509
28,Gameren,5.205,51.8
94,Sint-Annaland,4.103,51.601
94,De Rips,5.809,51.552
28,Ophemert,5.388,51.846
28,Langeveen,6.713,52.47
28,Hem,5.183,52.661
28,Hapert,5.26,51.37
24,Nieuw Beerta,7.163,53.189
28,Sint Joost,5.9,51.117
33,Rijkevoort,5.886,51.657
55,Fijnaart,4.465,51.637
66,Nij Altoenae,5.653,53.296
46,Termunten,7.045,53.297
66,Heibloem,5.896,51.301
28,Gees,6.689,52.748
33,Oldeberkoop,6.131,52.94
33,Oudkarspel,4.805,52.713
112,Groenlo,6.612,52.042
