rs,name,lon,lat
414,Gotesti,28.17,46.144
496,Pohrebeni,28.908,47.556
288,Bravicea,28.439,47.368
288,Cornesti,28.001,47.368
288,Balatina,27.341,47.697
496,Cimislia,28.783,46.517
414,Leova,28.256,46.48
856,Comrat,28.651,46.27
2552,Cahul,28.198,45.906
496,Hincesti,28.59,46.814
240,Singerei,28.14,47.639
100000,Chisinau,28.859,47.017
1232,Balti,27.905,47.767
496,Orhei,28.829,47.338
345,Ceadir-Lunga,28.827,46.055
856,Ungheni,27.796,47.197
345,Vulcanesti,28.406,45.683
496,Falesti,27.707,47.576
240,Cotova,27.948,48.161
345,Plopi,29.161,47.955
288,Dubau,29.279,47.43
496,Colosova,29.567,47.331
288,Criva,26.667,48.269
496,Causeni,29.421,46.634
595,Tiraspol,29.633,46.852
240,Malaiesti,29.55,46.981
496,Ocnita,27.48,48.409
595,Edinet,27.303,48.171
240,Donduseni,27.597,48.245
496,Larga,26.842,48.374
414,Drochia,27.809,48.037
345,Dnestrovsc,29.911,46.622
1027,Ribnita,29.031,47.759
714,Soroca,28.29,48.146
414,Grigoriopol,29.295,47.154
345,Camenca,28.696,48.032
