rs,name,lon,lat
240,Sondershausen,10.87,51.37
414,Hettstedt,11.515,51.645
288,Sangerhausen,11.299,51.474
288,Halle (Saale),11.971,51.482
240,Grimma,12.727,51.235
595,Dessau,12.246,51.835
240,Torgau,13.004,51.559
240,Baerenthoren,12.279,52.001
288,Bitterfeld-Wolfen,12.325,51.625
288,Wittenberg,12.646,51.867
2552,Leipzig,12.378,51.338
414,Kirchhain,13.561,51.636
496,Riesa,13.305,51.303
345,Goyatz,14.175,52.02
595,Luckenwalde,13.173,52.089
496,Hoyerswerda,14.244,51.439
414,Uckro,13.614,51.852
1478,Cottbus,14.335,51.759
240,Bad Muskau,14.722,51.545
414,Seelow,14.381,52.534
288,Koenigs Wusterhausen,13.624,52.299
414,Bad Freienwalde (Oder),14.031,52.788
414,Bautzen,14.428,51.181
414,Guben,14.712,51.954
1027,Schwedt/Oder,14.288,53.055
414,Eisenhuettenstadt,14.631,52.146
288,Rietschen,14.786,51.396
240,Forst (Lausitz),14.645,51.745
856,Goerlitz,14.988,51.155
414,Templin,13.499,53.121
100000,Berlin,13.406,52.518
345,Osterburg (Altmark),11.754,52.788
345,Karstaedt,11.746,53.157
345,Neuruppin,12.806,52.923
240,Fehrbellin,12.764,52.813
345,Reesdorf,12.17,52.243
288,Wutike,12.374,53.018
1027,Stendal,11.859,52.605
414,Wittstock/Dosse,12.486,53.163
288,Potsdam,13.054,52.4
288,Burg,11.855,52.27
496,Oranienburg,13.237,52.754
856,Wittenberge,11.751,52.994
240,Gardelegen,11.394,52.524
345,Wolfsburg,10.785,52.422
345,Salzwedel,11.154,52.853
240,Helmstedt,11.01,52.228
345,Dorst,11.386,52.379
345,Doemitz,11.249,53.142
288,Wittingen,10.74,52.729
240,Peine,10.227,52.322
496,Celle,10.081,52.626
595,Uelzen,10.561,52.965
345,Rotenburg (Wuemme),9.409,53.112
414,Bergen,9.962,52.81
240,Soltau,9.838,52.987
496,Braunschweig,10.521,52.262
496,Minden,8.915,52.288
1027,Bremen,8.809,53.076
345,Nienburg (Weser),9.212,52.641
240,Norderney,7.145,53.707
496,Norden,7.202,53.595
414,Cloppenburg,8.043,52.848
240,Oldenburg (Oldb),8.213,53.14
496,Rheine,7.439,52.279
5289,Emden,7.206,53.371
595,Papenburg,7.393,53.078
345,Frede,8.077,52.471
288,Wehm,7.666,52.833
496,Lingen (Ems),7.317,52.522
595,Osnabrueck,8.042,52.277
345,Meppen,7.292,52.691
414,Lohne (Oldenburg),8.238,52.666
414,Borkum,6.665,53.588
240,Aurich,7.482,53.47
288,Bremervoerde,9.146,53.485
288,Wangerooge,7.9,53.792
345,Varel,8.135,53.395
288,Hohenkirchen,7.916,53.663
240,Warsingsfehn,7.486,53.314
714,Cuxhaven,8.697,53.864
345,Uthlede,8.578,53.311
240,Marx,7.857,53.434
714,Bremerhaven,8.578,53.543
345,Tostedt,9.712,53.281
414,Neumuenster,9.988,54.07
2552,Hamburg,9.997,53.551
414,Elmshorn,9.661,53.758
240,Gyhum,9.311,53.22
345,Itzehoe,9.512,53.927
414,Neustadt in Holstein,10.816,54.106
496,Moelln,10.691,53.63
595,Lueneburg,10.409,53.249
414,Hagenow,11.193,53.432
714,Luebeck,10.684,53.866
414,Parchim,11.848,53.426
1478,Rostock,12.136,54.089
288,Ziegendorf,11.809,53.295
288,Neubukow,11.673,54.032
240,Jamel,11.517,53.482
345,Lenz,12.349,53.468
595,Guestrow,12.176,53.794
240,Waren (Mueritz),12.686,53.513
496,Wismar,11.466,53.892
496,Schwerin,11.414,53.629
240,Grimmen,13.043,54.113
288,Altentreptow,13.25,53.693
414,Sassnitz,13.634,54.513
240,Ueckermuende,14.046,53.737
595,Anklam,13.693,53.855
240,Blankensee,14.307,53.512
1027,Neubrandenburg,13.26,53.557
496,Prenzlau,13.862,53.316
345,Torgelow,14.011,53.629
414,Neustrelitz,13.063,53.362
414,Greifswald,13.38,54.096
345,Heringsdorf,14.167,53.954
240,Zinnowitz,13.909,54.077
288,Loitz,13.13,53.974
714,Burg auf Fehmarn,11.198,54.439
1027,Flensburg,9.438,54.783
288,Dranske,13.231,54.63
345,Nuebbel,9.622,54.273
288,Zingst,12.683,54.435
595,Stralsund,13.09,54.314
288,Kappeln,9.931,54.659
345,Ribnitz,12.432,54.243
414,Schleswig,9.567,54.515
1478,Kiel,10.137,54.322
288,Oldenburg in Holstein,10.888,54.293
288,Niebuell,8.829,54.788
414,Husum,9.057,54.477
595,Westerland,8.309,54.908
240,Toenning,8.942,54.317
714,Helgoland,7.887,54.182
714,Heide,9.091,54.194
240,Hoernum (Sylt),8.287,54.756
240,Ekel,9.358,54.326
240,Ording,8.605,54.336
3674,Ruhrgebiet,7.128,51.503
9138,München,11.561,48.135
595,Düsseldorf,6.812,51.215
1773,Hannover,9.756,52.379
414,Bonn,7.121,50.753
856,Mannheim/Ludwigshafen,8.442,49.496
414,Haunstetten,10.89,48.353
856,Frankfurt (Oder),14.543,52.343
414,Kirchmöser,12.399,52.394
