cc,rs,name,lon,lat,r1
NL,345,Venray,5.981,51.53,200
NL,414,Leeuwarden,5.807,53.204,345
NL,240,Harlingen,5.437,53.17,200
NL,288,Harderwijk,5.626,52.344,200
NL,414,Emmeloord,5.745,52.71,200
NL,595,Enschede,6.889,52.216,345
NL,345,West-Terschelling,5.213,53.358,200
NL,414,Assen,6.561,53.003,200
NL,345,Sneek,5.661,53.03,200
NL,414,Utrecht,5.111,52.099,240
NL,1027,Den Helder,4.746,52.95,240
NL,496,Alkmaar,4.75,52.627,200
NL,240,Heerenveen,5.937,52.948,200
NL,714,Zwolle,6.108,52.52,345
NL,496,Roosendaal,4.457,51.532,288
NL,345,Lelystad,5.456,52.507,288
NL,595,Emmen,6.917,52.778,200
NL,240,Koudum,5.451,52.913,200
NL,240,Made,4.79,51.677,200
NL,1478,Groningen,6.56,53.215,856
NL,240,Drachten,6.089,53.107,200
NL,240,Hoogeveen,6.491,52.725,200
SK,496,Levice,18.596,48.215,200
SK,345,Prievidza,18.624,48.772,288
SK,345,Zvolen,19.139,48.575,200
SK,595,Roznava,20.527,48.658,240
SK,496,Cadca,18.791,49.439,200
SK,240,Detva,19.412,48.542,200
SK,240,Bzovik,19.09,48.319,200
SK,856,Lucenec,19.67,48.329,288
SK,414,Trnava,17.582,48.374,240
SK,496,Nove Zamky,18.162,47.987,240
SK,288,Medzev,20.894,48.698,200
SK,2127,Zilina,18.74,49.216,496
SK,345,Sena,21.259,48.558,200
SK,288,Liptovsky Mikulas,19.612,49.084,288
SK,240,Cinobana,19.65,48.447,200
SK,414,Krasny Brod,21.899,49.242,240
SK,345,Sala,17.872,48.149,200
SK,240,Topolcany,18.172,48.56,200
SK,496,Bardejov,21.282,49.295,240
SK,288,Tachty,19.942,48.153,200
SK,240,Spisska Nova Ves,20.565,48.938,200
SK,595,Banska Bystrica,19.147,48.739,345
SK,288,Velky Krtis,19.34,48.215,200
SK,240,Hnilec,20.499,48.827,200
SK,856,Bratislava,17.119,48.154,414
SK,2127,Kosice,21.26,48.724,1232
SK,595,Trencin,18.038,48.893,240
SK,345,Komarno,18.134,47.763,200
SK,345,Revuca,20.115,48.685,240
