cc,rs,name,lon,lat,r1
GR,288,Μέτσοβον,21.183,39.77,200
GR,496,Φάρσαλα,22.385,39.296,288
GR,714,Κάρυστος,24.419,38.016,240
GR,240,Μακροχώριον,21.262,40.672,200
GR,240,Λαγυνά,26.298,41.084,200
GR,414,Κομοτηνή,25.403,41.119,288
GR,240,Ανάβρα,22.55,39.073,200
GR,345,Αλμυρός,22.76,39.183,200
GR,345,Δεσκάτη,21.809,39.927,200
GR,1478,Λαμία,22.434,38.9,414
GR,288,Μεταξάδες,26.225,41.42,200
GR,856,Ορεστιάς,26.532,41.503,595
GR,240,Κυπρίνος,26.228,41.576,200
GR,240,Κασσάνδρεια,23.413,40.049,200
GR,595,Καβάλα,24.406,40.938,240
GR,414,Γιαννιτσά,22.411,40.793,240
GR,496,Φλώρινα,21.414,40.783,200
GR,240,Σοχός,23.356,40.817,200
GR,414,Κόνιτσα,20.747,40.045,240
GR,1232,Ερμούπολις,24.941,37.445,714
GR,345,Πλωμάριον,26.369,38.976,200
GR,414,Μεγάλο Χωριό,26.972,37.458,240
GR,240,Τήνος,25.163,37.538,200
GR,496,Άγιος Κήρυκος,26.294,37.614,240
GR,288,Κορησσία,24.312,37.658,200
GR,1027,Νέον Καρλοβάσιον,26.704,37.791,414
GR,496,Άνδρος,24.936,37.837,200
GR,288,Χάλκη,27.611,36.222,200
GR,345,Μάρμαρον,26.108,38.544,200
GR,288,Φολέγανδρος,24.92,36.628,240
GR,595,Ίος,25.282,36.723,240
GR,288,Λιβάδιον,24.512,37.142,200
GR,1773,Κάρπαθος,27.212,35.507,714
GR,496,Όλυμπος,27.173,35.74,200
GR,856,Καμαριώτισσα,25.474,40.476,345
GR,345,Νέος Μαρμαράς,23.784,40.095,240
GR,240,Νεστόριον,21.059,40.416,200
GR,345,Οφρύνιον,23.91,40.797,200
GR,856,Λάρδος,28.016,36.094,200
GR,1478,Μεγίστη,29.591,36.149,856
GR,414,Ανάφη,25.768,36.352,240
GR,288,Λεωνίδιον,22.861,37.166,200
GR,856,Χαλκίς,23.597,38.46,345
GR,496,Γρεβενά,21.428,40.083,200
GR,595,Ιεράπετρα,25.739,35.008,414
GR,240,Κριτσά,25.645,35.159,200
GR,288,Φαρμακονήσιον,27.085,37.291,200
GR,345,Θάσος,24.709,40.779,200
GR,595,Λιμενάρια,24.575,40.627,200
GR,240,Σκόπελος,23.728,39.122,200
GR,595,Σκίαθος,23.489,39.163,345
GR,345,Αφάντου,28.162,36.294,200
GR,1773,Σκύρος,24.566,38.906,288
GR,496,Αμοργός,25.899,36.832,345
GR,496,Λιβάδια,27.385,36.416,240
GR,3674,Ρόδος,28.228,36.444,1773
GR,856,Αστυπάλαια (Χώρα),26.352,36.547,345
GR,496,Σύμη,27.839,36.613,240
GR,856,Αδάμας,24.445,36.726,496
GR,414,Κέφαλος,26.96,36.746,200
GR,496,Σητεία,26.106,35.208,200
GR,240,Σχίσμα,25.723,35.261,200
GR,496,Άγιος Ευστράτιος,24.989,39.539,288
GR,1478,Μύρινα,25.063,39.874,714
GR,240,Κοντοπούλιον,25.334,39.927,200
GR,2552,Μυτιλήνη,26.555,39.104,1232
GR,288,Μεστά,25.922,38.26,200
GR,1773,Χίος,26.136,38.37,595
GR,595,Ερεσός,25.934,39.167,288
GR,714,Ψαρά,25.563,38.54,345
GR,1478,Κως,27.288,36.893,714
GR,496,Απολλωνία,24.723,36.972,240
GR,595,Νάξος,25.376,37.106,345
GR,345,Σκάλα,26.544,37.323,200
GR,496,Κύθνος,24.431,37.413,200
GR,496,Ζάκυνθος,20.896,37.783,288
GR,288,Άστρος,22.722,37.404,200
GR,240,Ανδρίτσαινα,21.905,37.484,200
GR,345,Ζαχάρω,21.649,37.484,200
GR,414,Ιθάκη,20.718,38.364,200
GR,1027,Τρίπολις,22.372,37.51,414
GR,496,Άμφισσα,22.379,38.527,240
GR,288,Λευκάς,20.707,38.833,200
GR,345,Άργος,22.729,37.635,200
GR,240,Νέα Καλυβάκια,21.672,37.635,200
GR,240,Γάιος (Παξοί),20.186,39.197,200
GR,240,Αμαλιάς,21.351,37.797,200
GR,288,Νεμέα,22.662,37.822,200
GR,288,Αστακός,21.084,38.537,200
GR,345,Τερψιθέα,21.974,38.564,240
GR,595,Ραπτόπουλον,21.48,39.149,240
GR,345,Λεβίδιον,22.297,37.683,200
GR,1027,Πύργος,21.439,37.672,496
GR,288,Βάρνακας,20.987,38.726,200
GR,288,Δομνίστα,21.848,38.756,200
GR,856,Νεάπολη Βοιών,23.061,36.509,345
GR,345,Λιμήν Ιέρακος,23.084,36.787,200
GR,496,Γεράκιον,22.708,36.991,200
GR,856,Αργοστόλιον,20.487,38.179,288
GR,240,Σοφικόν,23.051,37.794,200
