rs,name,lon,lat
2688,Saint-Georges,-51.8,3.889
522,Apatou,-54.342,5.157
123,Mana,-53.776,5.667
3870,Saint-Laurent-du-Maroni,-54.028,5.504
522,Saint-Elie,-53.287,4.826
100000,Cayenne,-52.334,4.939
176,Montsinery-Tonnegrande,-52.492,4.893
626,Iracoubo,-53.204,5.48
901,Kourou,-52.642,5.158
363,Macouria,-52.473,5.013
1297,Sinnamary,-52.958,5.378
176,Matoury,-52.33,4.851
435,Roura,-52.323,4.728
1297,Regina,-52.128,4.314
363,Ouanary,-51.671,4.209
211,Awala-Yalimapo,-53.907,5.736
1297,Saul,-53.207,3.623
1556,Maripasoula,-54.027,3.641
901,Camopi,-52.33,3.167
1556,Grand-Santi,-54.381,4.273
72,Remire-Montjoly,-52.275,4.905
522,Papaichton,-54.148,3.81
