rmax,name,lon,lat
435,Dunlavin,-6.701,53.058
211,Aughrim,-6.328,52.853
72,Glenealy,-6.139,52.968
147,Rathdrum,-6.23,52.929
435,Kilrush,-9.484,52.639
103,Ballyvaughan,-9.149,53.116
176,Milltown Malbay,-9.401,52.855
363,Ennistimon,-9.293,52.939
86,Sixmilebridge,-8.771,52.742
253,Scarriff,-8.531,52.911
176,Kilkee,-9.645,52.681
72,Cratloe,-8.766,52.7
363,Newcastle West,-9.049,52.449
103,Castleconnell,-8.49,52.709
176,Abbeyfeale,-9.3,52.385
147,Rathkeale,-8.938,52.523
60,Doon,-8.248,52.604
86,Patrickswell,-8.706,52.598
176,Croom,-8.716,52.519
211,Caherconlish,-8.471,52.594
253,Askeaton,-8.974,52.6
211,Bruff,-8.547,52.475
60,Kilmallock,-8.571,52.398
176,Oola,-8.258,52.529
103,Fedamore,-8.596,52.547
103,Hospital,-8.431,52.471
72,Kilfinnane,-8.467,52.359
626,Roscrea,-7.797,52.958
303,Templemore,-7.83,52.797
123,Littleton,-7.737,52.639
147,Borrisokane,-8.126,52.998
72,Borrisoleigh,-7.955,52.752
211,Bagenalstown,-6.956,52.701
147,Tullow,-6.733,52.803
86,Hacketstown,-6.558,52.866
86,Leighlinbridge,-6.975,52.736
211,Callan,-7.389,52.544
303,Thomastown,-7.137,52.526
147,Castlecomer,-7.209,52.805
72,Ballyragget,-7.333,52.788
103,Freshford,-7.397,52.732
103,Graiguenamanagh,-6.955,52.542
176,Cashel,-7.886,52.517
211,Caher,-7.923,52.374
86,Kilsheelan,-7.579,52.361
123,Ardfinnan,-7.884,52.309
211,Lismore,-7.931,52.138
176,Portlaw,-7.304,52.295
176,Kilmacthomas,-7.421,52.206
86,Tallow,-8.009,52.093
147,An Rinn,-7.569,52.046
72,Cappoquin,-7.843,52.146
211,Rosslare,-6.393,52.265
60,Kilmore,-6.544,52.207
103,Clonroche,-6.716,52.45
147,Taghmon,-6.648,52.322
176,Ferns,-6.495,52.59
303,Mitchelstown,-8.269,52.269
435,Bantry,-9.446,51.683
176,Kanturk,-8.904,52.177
176,Kinsale,-8.522,51.706
253,Bandon,-8.734,51.746
123,Newmarket,-8.998,52.215
147,Cloyne,-8.12,51.863
522,Clonakilty,-8.89,51.623
176,Charleville-Rathluirc,-8.683,52.356
363,Macroom,-8.958,51.905
253,Skibbereen,-9.267,51.549
211,Buttevant,-8.669,52.234
72,Inishannon,-8.654,51.764
86,Doneraile,-8.585,52.215
60,Ballycotton,-8.013,51.83
303,Dunmanway,-9.112,51.719
363,Skull,-9.544,51.527
303,Listowel,-9.485,52.446
211,Killorglin,-9.792,52.106
176,Castleisland,-9.463,52.231
522,Dingle,-10.27,52.139
435,Kenmare,-9.583,51.88
211,Ballyheige,-9.827,52.39
123,Rathmore,-9.218,52.084
60,Milltown,-9.717,52.145
435,Cahersiveen,-10.225,51.946
103,Newcastle,-6.062,53.07
211,Castlebridge-Blackwater,-6.344,52.446
86,Castlemartyr,-8.052,51.912
103,Adare,-8.789,52.563
211,Carrigaline,-8.389,51.82
103,Ashbourne,-6.395,53.509
72,"Sallins ",-6.664,53.246
86,Passage West,-8.335,51.872
176,Blessington,-6.534,53.169
86,Oranmore,-8.928,53.269
103,Kilcoole,-6.063,53.109
123,Courtown-Riverchapel,-6.232,52.634
60,Annacotty,-8.535,52.667
176,"Ballina ",-8.436,52.809
103,Rathangan,-6.991,53.221
86,Crosshaven,-8.298,51.801
211,Baltinglass,-6.704,52.94
363,Bunclody,-6.65,52.654
123,Newmarket on Fergus,-8.896,52.763
123,Dunmore East,-6.999,52.154
147,Rathcormack,-8.28,52.076
72,Strandhill,-8.596,54.27
72,Derrinturn,-6.934,53.339
123,Longwood,-6.926,53.456
253,Millstreet,-9.06,52.06
86,Tullyallen,-6.409,53.738
253,Fethard,-7.692,52.468
435,Bunbeg,-8.302,55.063
86,Rochfortbridge,-7.298,53.415
103,Lanesborough,-7.985,53.674
103,Ashford,-6.105,53.013
253,Ballybunnion,-9.673,52.512
60,Ardnacrusha,-8.602,52.71
123,Moroe,-8.397,52.653
103,Mullagh,-6.947,53.81
123,Watergrasshill,-8.344,52.011
147,Foxford,-9.113,53.981
103,Claregalway,-8.946,53.34
211,Muff,-7.272,55.069
60,Rosslare Harbour,-6.343,52.248
176,Dromiskin,-6.378,53.927
72,Athgarvan,-6.775,53.155
211,Castlepollard,-7.293,53.678
211,"Inishcrone ",-9.091,54.214
103,Ballylynan,-7.038,52.944
86,Passage East,-6.973,52.239
103,Kilmeague,-6.838,53.251
103,Newtowncunnigham,-7.502,55.001
72,Kilworth,-8.24,52.175
176,Urlingford,-7.579,52.719
103,Charlestown-Bellahy,-8.793,53.964
86,Kinlough,-8.286,54.448
86,Allenwood,-6.859,53.286
147,Knock,-8.918,53.795
72,Drommahane,-8.687,52.104
123,Quin,-8.864,52.816
