rs,name,lon,lat
147,Leuze,3.621,50.601
103,Libin,5.256,49.981
123,Libramont,5.377,49.915
103,Lier,4.57,51.131
60,Liezele,4.281,51.06
60,Lint,4.494,51.127
86,Lochristi,3.831,51.096
253,Lokeren,3.989,51.104
60,Londerzeel,4.302,51
60,Longchamps,5.69,50.053
72,Longvilly,5.836,50.025
147,Lorce,5.735,50.417
86,Lotenhulle,3.46,51.05
60,Louette-Saint-Pierre,4.927,49.96
303,Maaseik,5.792,51.095
147,Macquenoise,4.178,49.976
86,Maizeret,4.979,50.46
123,Manderfeld,6.341,50.33
72,Marcourt,5.528,50.215
435,Mariembourg,4.522,50.095
103,Masbourg,5.312,50.112
60,Matagne-la-Grande,4.623,50.117
253,Mechelen,4.481,51.028
211,Mechelen-aan-de-Maas,5.696,50.963
72,Meer,4.736,51.443
103,Meerdonk,4.147,51.26
72,Meerle,4.804,51.474
72,Meix-devant-Virton,5.479,49.605
86,Meldert,5.141,50.998
60,Mellet,4.476,50.504
72,Mellier,5.519,49.768
103,Membre,4.901,49.866
60,Menen,3.12,50.796
123,Merelbeke,3.746,50.994
72,Merendree,3.577,51.078
72,Merkem,2.849,50.955
60,Merksplas,4.863,51.358
60,Messancy,5.814,49.595
60,Messelbroek,4.937,50.996
60,Middelburg,3.416,51.256
60,Moere,2.956,51.122
72,Moircy,5.475,49.994
176,Mol,5.121,51.187
103,Momignies,4.166,50.03
60,Montignies-Saint-Christophe,4.188,50.281
60,Mourcourt,3.444,50.654
123,Muno,5.175,49.717
72,Naast,4.101,50.554
60,Nadrin,5.684,50.158
60,Nafraiture,4.916,49.911
60,Nandrin,5.42,50.507
86,Naninne,4.919,50.418
123,Nethen,4.674,50.784
123,Neufchateau,5.435,49.84
147,Nieuwpoort,2.751,51.129
147,Nijlen,4.67,51.16
123,Ninove,4.015,50.833
86,Nivelles,4.325,50.598
72,Odeigne,5.68,50.259
72,Oedelem,3.34,51.17
86,Oetingen,4.064,50.773
72,Oevel,4.905,51.139
60,Olmen,5.149,51.142
60,Onhaye,4.84,50.243
60,Oosterzele,3.808,50.945
103,Oostkamp,3.235,51.155
86,Oostrozebeke,3.334,50.921
123,Opwijk,4.19,50.97
147,Othee,5.469,50.715
86,Ottignies,4.566,50.665
86,Oudenburg,3.002,51.185
60,Oudergem,4.428,50.816
60,Overmere,3.946,51.047
103,Paliseul,5.137,49.904
103,Pesche,4.458,50.042
72,Petegem-aan-de-Leie,3.528,50.972
147,Philippeville,4.544,50.196
72,Plainevaux,5.521,50.545
86,Ploegsteert,2.88,50.726
86,Poelkapelle,2.958,50.918
60,Polleur,5.881,50.539
211,Poperinge,2.728,50.855
86,Proven,2.657,50.891
72,Pulderbos,4.692,51.218
123,Quievrain,3.683,50.407
60,Ransart,4.476,50.462
103,Ravels,4.995,51.372
103,Renlies,4.266,50.192
60,Retie,5.084,51.268
211,Reuland,6.136,50.196
72,Riezes,4.369,49.96
103,Rijkevorsel,4.758,51.35
72,Rixensart,4.522,50.713
86,Rochefort,5.223,50.159
72,Rochehaut,5.006,49.84
211,Roisin,3.695,50.332
86,Roloux,5.395,50.649
103,Rossignol,5.485,49.718
123,Rummen,5.163,50.892
176,Saint-Hubert,5.374,50.025
103,Saint-Leger,5.655,49.613
60,Saint-Medard,5.327,49.817
86,Sart-en-Fagne,4.62,50.158
72,Sart-Eustache,4.599,50.376
86,Schilde,4.578,51.242
72,Schoenberg,6.265,50.29
60,Schoten,4.498,51.251
60,Schriek,4.694,51.028
103,Scy,5.21,50.307
60,Seloignes,4.255,50.016
103,Seneffe,4.257,50.529
60,Sint-Job-in-'t-Goor,4.583,51.293
147,Sint-Joris-Winge,4.876,50.908
86,Sint-Katelijne-Waver,4.532,51.069
60,Sint-Lambrechts-Herk,5.307,50.898
60,Sint-Lambrechts-Woluwe,4.426,50.844
123,Sint-Laureins,3.524,51.242
72,Sint-Margriete,3.546,51.282
60,Sint-Martens-Lennik,4.167,50.812
60,Sint-Martens-Voeren,5.812,50.749
123,Sint-Niklaas,4.139,51.165
303,Sint-Truiden,5.186,50.816
72,Sivry,4.181,50.168
60,Soignies,4.069,50.579
72,Somzee,4.484,50.293
103,Soumagne,5.732,50.633
303,Spa,5.867,50.493
60,Sprimont,5.662,50.506
72,Stavelot,5.93,50.394
103,Stekene,4.041,51.206
303,Sugny,4.901,49.815
60,Suxy,5.401,49.765
123,Taintignies,3.341,50.549
86,Temse,4.214,51.125
176,Tessenderlo,5.088,51.068
123,Tielt,3.327,51.001
176,Tienen,4.938,50.807
147,Tongeren,5.464,50.781
60,Tongerlo,5.66,51.127
147,Torhout,3.102,51.065
103,Tremelo,4.704,50.991
86,Tubize,4.205,50.693
72,Ukkel,4.333,50.804
86,Val-Meer,5.595,50.787
86,Vedrin,4.873,50.503
103,Verlaine,5.322,50.605
60,Vezin,5.008,50.495
86,Vichte,3.403,50.836
253,Vielsalm,5.917,50.285
60,Vierves-sur-Viroin,4.634,50.08
60,Virginal-Samme,4.211,50.641
253,Virton,5.531,49.567
60,Voort,5.316,50.791
60,Vorst,5.021,51.075
60,Vosselare,3.555,51.026
72,Wachtebeke,3.858,51.169
60,Wanfercee-Baulet,4.589,50.472
176,Waregem,3.433,50.885
211,Waremme,5.257,50.698
60,Warzee,5.428,50.449
60,Waterloo,4.396,50.715
60,Watou,2.62,50.859
72,Weelde,5.006,51.411
72,Wellen,5.33,50.841
147,Wellin,5.114,50.082
363,Wervik,3.044,50.778
60,Westkapelle,3.303,51.315
86,Wetteren,3.886,51.006
72,Wezemaal,4.756,50.948
60,Wiekevorst,4.795,51.109
72,Wiers,3.533,50.509
86,Wijtschate,2.882,50.786
86,Willebroek,4.362,51.063
103,Willerzie,4.848,49.987
211,Winenne,4.898,50.1
72,Wingene,3.277,51.058
103,Witry,5.612,49.86
60,Wommersom,5.018,50.813
60,Woumen,2.87,51.001
72,Wuustwezel,4.598,51.392
86,Zaventem,4.466,50.887
72,Zele,4.037,51.069
60,Zetrud-Lumay,4.885,50.759
72,Zoersel,4.712,51.267
86,Zonhoven,5.367,50.992
72,Zutendaal,5.572,50.933
60,Wichelen,3.971,51.009
211,Lommel,5.304,51.23
72,Nieuwmoer,4.518,51.433
60,Zondereigen,4.893,51.407
60,Gooreind,4.542,51.358
86,Grootrees,4.976,51.275
72,Kolonie,5.386,51.252
72,Rauw,5.204,51.221
103,Donk,3.383,51.214
86,Ten Aard,4.981,51.204
60,Kruisstraat,3.937,51.203
60,Born,6.113,50.334
123,Kerkhoven,5.265,51.162
72,Bel,5.063,51.163
60,Gestel,5.097,51.113
60,Marialoop,3.328,50.964
60,Miskom,5.013,50.896
60,Butsel,4.848,50.844
60,Tombeek,4.567,50.754
72,Meers,3.545,50.808
72,Medell,6.17,50.32
72,Fanzel,5.573,50.322
60,Matagne,5.156,50.438
147,Petergensfeld,6.181,50.65
72,Bois Dame Aguisse,5.178,50.466
60,Zogge,4.092,51.076
60,Abele,2.669,50.822
72,Grand Monchau,3.68,50.707
72,Ster,5.971,50.46
60,Bossiere,4.697,50.345
72,Solwaster,5.965,50.524
72,Petit-Waret,5.048,50.526
60,Limont,5.495,50.508
103,Sourbrodt,6.13,50.476
60,Frisee,5.126,50.373
60,Rodt,6.071,50.287
211,Parette,5.773,49.785
86,Fouches,5.709,49.69
72,Warempage,5.64,50.12
72,Buret,5.867,50.097
60,Gennevaux,5.557,49.812
103,Bourcy,5.809,50.059
60,Provedroux,5.896,50.252
60,Gruefflingen,6.087,50.224
72,Dinez,5.774,50.172
72,Rettigny,5.88,50.168
72,Assenois,5.68,49.966
60,Lutremange,5.761,49.942
60,Bougnimont,5.468,49.945
60,Remichampagne,5.641,49.935
103,Laneuville-au-Bois,5.467,50.081
72,Ourthe,5.984,50.189
211,Honville,5.728,49.909
72,St-Remy,5.62,49.54
60,Korsele,3.701,50.857
72,Cahos,3.25,50.651
60,Stoki,5.794,50.606
86,Boscante,3.997,50.637
103,Haversin,5.196,50.249
72,De Haan,3.03,51.276
176,Edingen,4.04,50.693
123,Eupen,6.03,50.632
435,La Calamine,6.013,50.716
60,Le Roeulx,4.109,50.501
176,Malmedy,6.027,50.426
123,Moeskroen,3.214,50.743
253,Ronse,3.601,50.748
147,Saint-Vith,6.126,50.281
72,Montignies-le-Tilleul,4.379,50.379
72,Bullange,6.256,50.406
86,Overpelt,5.422,51.211
72,Kruishoutem,3.528,50.905
72,Knesselare,3.412,51.139
72,Waarschoot,3.607,51.151
86,Opglabbeek,5.583,51.043
100000,Antwerpen,4.432,51.192
1297,Liège,5.566,50.629
751,Gent,3.731,51.053
751,Charleroi,4.461,50.416
363,Brugge,3.226,51.206
211,Oostende,2.923,51.223
211,Leuven,4.71,50.876
253,Namur,4.858,50.462
147,La Louvière,4.187,50.479
147,Verviers,5.866,50.591
253,Aalst,4.05,50.94
363,Roeselare,3.126,50.947
303,Turnhout,4.948,51.319
176,Vilvoorde,4.43,50.924
363,Tournai,3.388,50.61
123,Hasselt,5.336,50.928
86,Beveren,4.26,51.216
522,Mons,3.951,50.456
147,Knokke-Heist,3.27,51.343
60,Avelgem-Outrijve,3.449,50.772
211,Blaton,3.665,50.504
176,Aalter,3.461,51.089
147,Oupeye,5.64,50.704
72,Landen,5.08,50.747
72,Morlanwelz,4.249,50.449
211,Geraardsbergen,3.872,50.77
60,Duffel,4.506,51.095
123,Lille,4.815,51.249
522,Marche-en-Famenne,5.333,50.209
176,Hoogstraten,4.763,51.409
303,Dinant,4.914,50.257
211,Zelzate,3.807,51.199
123,Oudenaarde,3.605,50.848
86,Brecht,4.659,51.346
211,Gembloux,4.692,50.561
123,Thuin,4.282,50.349
72,Dadizele-Ledegem,3.119,50.856
103,Veurne,2.669,51.074
147,Lanaken,5.648,50.894
103,Andenne,5.094,50.495
86,Lichtervelde,3.132,51.027
72,Herenthout,4.761,51.139
72,Berlaar,4.647,51.113
60,Visé,5.684,50.737
147,Hannut,5.071,50.668
176,Genappe,4.445,50.6
86,Brakel,3.761,50.801
147,Perwez,4.79,50.633
60,Beernem,3.331,51.132
86,Zonnebeke,3.002,50.882
86,Baarle-Hertog,4.929,51.445
176,Pecq,3.333,50.69
60,Zomergem,3.558,51.122
147,Peer,5.461,51.132
86,Theux,5.818,50.534
123,Houthulst,2.936,50.978
