rmax,name,lon,lat
60,Heelsum,5.755,51.983
60,Peize,6.495,53.149
72,Overslag,3.891,51.204
60,Haastrecht,4.776,52
103,Mantgum,5.717,53.128
103,Middenmeer,4.999,52.809
60,Almere-Buiten,5.264,52.398
60,'t Zand,4.756,52.836
60,Den Ham,6.49,52.464
72,Oud-Beijerland,4.414,51.818
72,Borkel,5.441,51.298
60,Nieuwe Pekela,6.964,53.079
60,Middelstum,6.642,53.348
60,Goutum,5.802,53.179
72,Holwierde,6.871,53.358
522,Emmeloord,5.745,52.71
626,Enschede,6.889,52.216
86,Wintelre,5.339,51.442
60,Echteld,5.499,51.909
123,Rijssen,6.514,52.307
103,Ruinen,6.359,52.763
86,Ee,6.102,53.33
211,Siddeburen,6.865,53.249
72,Eelde-Paterswolde,6.561,53.138
123,Wergea,5.847,53.152
86,Oldemarkt,5.972,52.821
72,Dinxperlo,6.487,51.863
72,Almere-Haven,5.223,52.343
211,Westkapelle,3.441,51.529
86,Meedhuizen,6.911,53.286
72,Etten-Leur,4.651,51.574
60,Landhorst,5.79,51.617
103,De Koog,4.762,53.099
60,Beetsterzwaag,6.078,53.06
103,Hellevoetsluis,4.133,51.834
72,Luttelgeest,5.851,52.744
60,Drijber,6.538,52.792
72,Bellingwolde,7.167,53.12
86,Schoonebeek,6.885,52.662
147,Burgh-Haamstede,3.742,51.696
435,Uithuizen,6.673,53.405
435,West-Terschelling,5.213,53.358
60,Klundert,4.537,51.665
72,Halsteren,4.27,51.528
103,Goirle,5.058,51.521
72,Sprundel,4.595,51.537
253,Cuijk,5.877,51.731
72,Schoonhoven,4.849,51.95
211,Echt,5.871,51.106
435,Hardenberg,6.621,52.57
103,Medemblik,5.104,52.767
86,Woubrugge,4.636,52.168
60,Grashoek,5.943,51.36
86,Borne,6.75,52.3
72,Abcoude,4.964,52.273
176,Hilversum,5.17,52.223
72,Kamerik,4.895,52.111
253,De Cocksdorp,4.871,53.156
253,Stadskanaal,6.962,52.983
103,Bergentheim,6.614,52.527
253,Nijmegen,5.856,51.829
72,Ouwerkerk,3.982,51.625
72,Tjalleberd,5.944,52.998
303,Eijsden,5.708,50.779
60,Witteveen,6.661,52.814
147,Nieuwleusen,6.279,52.588
60,Sint Jansteen,4.053,51.262
72,Posterholt,6.033,51.122
147,Dronten,5.715,52.519
103,Oudeschip,6.823,53.431
72,Gelselaar,6.527,52.169
72,Acht,5.429,51.48
72,Geldrop,5.561,51.423
86,Vierhouten,5.829,52.332
86,Bant,5.752,52.768
123,Wemeldinge,3.993,51.515
522,Assen,6.561,53.003
86,Wijhe,6.135,52.385
60,Koningsbosch,5.958,51.052
72,Moergestel,5.178,51.545
176,Workum,5.443,52.979
103,Nunspeet,5.782,52.379
86,Veldhoek,6.411,52.046
103,Wijnjewoude,6.201,53.056
103,Dwingeloo,6.367,52.836
60,'s-Gravenhage,4.288,52.073
60,Heesch,5.529,51.731
435,Sneek,5.661,53.03
72,Voorst,6.142,52.171
86,Bentelo,6.684,52.225
103,Nieuwerkerk aan den IJssel,4.606,51.963
147,Vught,5.283,51.645
