cc,rs,name,lon,lat,r1
NL,120,Zevenaar,6.071,51.932,100
NL,247,Venray,5.981,51.53,120
NL,172,Goes,3.892,51.505,172
NL,296,Doetinchem,6.298,51.965,144
NL,172,Hank,4.896,51.734,100
NL,144,Vroomshoop,6.565,52.461,100
NL,247,Weert,5.701,51.251,144
NL,206,Zierikzee,3.913,51.65,120
NL,120,Ansen,6.335,52.782,100
NL,144,Stede Broec,5.238,52.698,100
NL,144,Aalden,6.72,52.79,100
NL,296,Terneuzen,3.845,51.321,120
NL,144,Norg,6.457,53.066,100
NL,426,Leeuwarden,5.807,53.204,355
NL,120,Vaassen,5.968,52.29,100
NL,120,Hoofdplaat,3.662,51.37,100
NL,144,Best,5.399,51.509,100
NL,206,Ter Apel,7.065,52.88,100
NL,172,Oostkapelle,3.553,51.566,100
NL,296,Balk,5.583,52.897,100
NL,120,Winschoten,7.035,53.146,100
NL,120,Uden,5.621,51.662,120
NL,355,Schagen,4.791,52.788,120
NL,172,Maastricht,5.707,50.856,144
NL,120,Winterswijk,6.72,51.973,100
NL,206,Harlingen,5.437,53.17,120
NL,172,Coevorden,6.75,52.664,100
NL,120,Stramproy,5.72,51.195,100
NL,144,Roden,6.426,53.141,100
NL,206,Someren-Heide,5.696,51.35,100
NL,296,Harderwijk,5.626,52.344,120
NL,247,Brielle,4.163,51.894,100
NL,172,Ommen,6.421,52.525,100
NL,120,Warder,5.031,52.565,100
NL,144,Mantgum,5.717,53.128,100
NL,247,Emmeloord,5.745,52.71,144
NL,613,Enschede,6.889,52.216,355
NL,120,Burgh-Haamstede,3.742,51.696,100
NL,172,Uithuizen,6.673,53.405,100
NL,355,West-Terschelling,5.213,53.358,172
NL,206,Cuijk,5.877,51.731,100
NL,355,Hardenberg,6.621,52.57,120
NL,144,Medemblik,5.104,52.767,100
NL,120,Hilversum,5.17,52.223,100
NL,206,De Cocksdorp,4.871,53.156,100
NL,206,Stadskanaal,6.962,52.983,100
NL,296,Nijmegen,5.856,51.829,120
NL,172,Eijsden,5.708,50.779,100
NL,144,Nieuwleusen,6.279,52.588,100
NL,172,Dronten,5.715,52.519,120
NL,426,Assen,6.561,53.003,172
NL,355,Sneek,5.661,53.03,144
NL,355,Utrecht,5.111,52.099,247
NL,120,Budel,5.573,51.27,100
NL,511,Apeldoorn,5.957,52.211,206
NL,206,Schiermonnikoog,6.161,53.478,120
NL,120,Steenwijk,6.114,52.791,100
NL,120,Hasselt,6.098,52.592,100
NL,144,Boxmeer,5.946,51.648,100
NL,172,Druten,5.599,51.885,100
NL,172,Wons,5.423,53.084,100
NL,144,Ens,5.826,52.637,100
NL,296,Almelo,6.661,52.356,100
NL,355,Den Helder,4.746,52.95,247
NL,144,Urk,5.611,52.662,100
NL,247,Roermond,6,51.19,100
NL,120,Beesd,5.193,51.888,100
NL,206,Gemert,5.69,51.556,100
NL,511,Alkmaar,4.75,52.627,206
NL,120,Haaksbergen,6.735,52.159,100
NL,120,Maasdijk,4.473,51.792,100
NL,120,Kortgene,3.802,51.558,100
NL,247,Heerenveen,5.937,52.948,120
NL,172,Gorinchem,4.984,51.835,144
NL,120,Heetveld,6.01,52.662,100
NL,144,Wolvega,6.006,52.878,100
NL,144,Borger,6.793,52.924,100
NL,120,Nieuwediep,6.851,53.045,100
NL,144,Eibergen,6.654,52.1,100
NL,296,Lochem,6.411,52.159,120
NL,247,Dordrecht,4.682,51.809,100
NL,144,Nieuwegein,5.079,52.03,100
NL,120,Steenbergen,4.32,51.583,100
NL,735,Zwolle,6.108,52.52,247
NL,144,Lauwersoog,6.212,53.404,100
NL,144,Zevenbergen,4.601,51.645,100
NL,355,Meppel,6.186,52.696,144
NL,206,Boxtel,5.329,51.591,100
NL,296,Raalte,6.269,52.385,100
NL,172,Hollum,5.639,53.442,120
NL,144,Kruiningen,4.034,51.448,100
NL,120,Oost-Vlieland,5.065,53.295,100
NL,613,Roosendaal,4.457,51.532,206
NL,144,Goor,6.57,52.236,100
NL,355,Lelystad,5.456,52.507,120
NL,120,Heeg,5.607,52.968,100
NL,247,Tiel,5.425,51.891,120
NL,613,Emmen,6.917,52.778,206
NL,120,Wijk bij Duurstede,5.338,51.978,100
NL,120,Numansdorp,4.439,51.731,100
NL,206,Epe,5.978,52.349,100
NL,120,Dalfsen,6.261,52.51,100
NL,206,Rutten,5.697,52.805,100
NL,120,Berkenwoude,4.708,51.946,100
NL,1522,Groningen,6.56,53.215,882
NL,206,Drachten,6.089,53.107,144
NL,172,Bedum,6.597,53.302,100
NL,144,Hoogeveen,6.491,52.725,144
NL,172,Oosterhout,4.858,51.637,100
NL,247,Dokkum,5.997,53.325,100
NL,120,Elspeet,5.788,52.292,100
NL,206,Delfzijl,6.909,53.329,144
NL,144,Oude-Tonge,4.214,51.692,100
NL,296,Beilen,6.512,52.86,100
NL,120,Heeten,6.281,52.333,100
NL,144,Ouddorp,3.935,51.81,100
NL,144,Alphen aan den Rijn,4.662,52.137,100
NL,120,Enter,6.577,52.294,100
NL,172,Amstelveen,4.857,52.297,100
NL,172,Hallum,5.783,53.307,100
SK,511,Levice,18.596,48.215,206
SK,144,Nenince,19.26,48.145,100
SK,120,Secianky,19.079,48.095,100
SK,144,Kendice,21.245,48.925,100
SK,172,Partizanske,18.358,48.629,100
SK,206,Povazska Bystrica,18.443,49.117,144
SK,355,Prievidza,18.624,48.772,247
SK,355,Zvolen,19.139,48.575,144
SK,120,Ocova,19.293,48.605,100
SK,511,Roznava,20.527,48.658,247
SK,172,Bytca,18.565,49.226,100
SK,120,Velke Rovne,18.584,49.285,100
SK,511,Cadca,18.791,49.439,172
SK,144,Klokocov,18.571,49.45,120
SK,206,Dolny Kubin,19.296,49.213,100
SK,355,Papin,22.061,49.092,100
SK,247,Detva,19.412,48.542,144
SK,120,Cerovo,19.155,48.255,100
